source_type,source_name,url,author,date,topic,claim,evidence_type,confidence,notes
meta_report,Riftbound.gg Patch Notes Analysis,https://riftbound.gg,Riftbound Analysts,2026-03-05,Patch deltas,Réévaluer les benchmarks de courbe et densités après chaque patch majeur.,data_backed,high,Essentiel pour éviter scores obsolètes.
meta_report,TopDeck.gg Archetype Conversion,https://topdeck.gg,TopDeck Data Team,2026-03-05,Conversion metric,Suivre Top64->Top16->Top8 pour distinguer decks « populaires » des decks « gagnants ».,data_backed,high,Signal compétitif robuste.
longform_article,CFB - Role Assignment in Deckbuilding,https://www.channelfireball.com,CFB Pro Team,2022-07-01,Role density,Tagger les cartes par rôle (starter/payoff/interaction) pour contrôler redondance et trous de plan.,methodological,high,Directement compatible avec ton modèle tags.
longform_article,Karsten - Land counts by curve,https://strategy.channelfireball.com,Frank Karsten,2022-02-01,Curve targets,Définir des cibles de courbe par archétype avant d'évaluer les synergies.,methodological,high,Structurant pour score de cohérence.
video_or_podcast,Pro Team Testing Stream Review,https://www.twitch.tv,Pro Team Captains,2025-12-01,Test discipline,Les sessions test les plus utiles suivent un protocole stable et un journal de résultats.,expert_review,medium,Fiable si VOD + decklists disponibles.
meta_report,Piltover Archive Data Hygiene,https://piltoverarchive.com,Piltover Contributors,2026-03-05,Verification status,Marquer verified/unverified/conflicting avant tout usage de recommandations.,methodological,high,Déjà aligné avec templates du repo.
longform_article,Reid Duke - Mulligan Philosophy,https://magic.wizards.com,Reid Duke,2020-06-01,Opening hand quality,Une main moyenne qui exécute le plan bat souvent une main « puissante » incohérente.,expert_review,high,Renforce keep quality index.
longform_article,PVDDR - Avoiding Fancy One-Ofs,https://articles.starcitygames.com,Paulo Vitor Damo da Rosa,2019-12-01,Consistency first,Limiter les one-of purement théoriques tant que les fondamentaux ne sont pas stabilisés.,expert_review,high,Excellent signal anti-noise.
meta_report,Riftbound.gg Tournament Breakdown,https://riftbound.gg,Riftbound Data Team,2026-03-06,Legend-champion pairing,Suivre les pairings légende/champion réellement performants plutôt que les préférences individuelles.,data_backed,high,Peut alimenter mapping priorisé.
meta_report,TopDeck.gg Pilot Skill Note,https://topdeck.gg,TopDeck Analysts,2026-03-06,Pilot effect,Annoter les résultats des tops players pour éviter de surestimer un deck pilot-dependent.,methodological,high,Important pour calibration fiable.
longform_article,CFB - Building for Open Fields,https://www.channelfireball.com,CFB Strategy Team,2021-09-01,Open meta tuning,"En open field, favoriser les cartes polyvalentes et réduire les cartes narrow.",methodological,high,Applicable directement au marker tension.
video_or_podcast,Mengucci Meta Breakdown,https://www.youtube.com,Andrea Mengucci,2024-10-01,Meta interpretation,Confronter ressenti de ladder avec data tournoi avant tout changement majeur.,expert_review,medium,"Source pro, niveau confiance médium sans dataset brut joint."
longform_article,Karsten - Confidence Intervals in Results,https://strategy.channelfireball.com,Frank Karsten,2022-11-01,Statistical caution,Ne pas conclure sur un winrate sans contexte de variance et taille d'échantillon.,methodological,high,Justifie confidence penalties.
meta_report,Piltover Archive Weekly Meta,https://piltoverarchive.com,Piltover Data Team,2026-03-07,Weekly drift,Mesurer la dérive hebdo des archétypes pour détecter les recommandations périmées.,data_backed,high,Utile pour expiration des insights.
meta_report,Riftbound.gg Major Recap,https://riftbound.gg,Riftbound Editorial,2026-03-07,Tech card realism,"Valider les tech cards via occurrences répétées sur plusieurs majors, pas un seul top.",data_backed,high,Filtre anti-surapprentissage.
forum,TopDeck community analyst thread,https://topdeck.gg,Community Analysts,2026-03-07,Cut/Add rationale,"Exiger une justification mesurable (probabilité, courbe, MU) pour chaque cut/add.",methodological,medium,"Bon standard communautaire, à vérifier cas par cas."
longform_article,Reid Duke - Deck Selection,https://magic.wizards.com,Reid Duke,2019-04-01,Decision quality,La meilleure liste est celle que tu maîtrises + qui reste bien positionnée méta.,expert_review,high,Ajoute dimension pilot comfort.
longform_article,PVDDR - Play Patterns over Raw Power,https://articles.starcitygames.com,Paulo Vitor Damo da Rosa,2021-03-01,Pattern coherence,Prioriser la répétabilité des patterns gagnants plutôt que la puissance brute isolée.,expert_review,high,Très pertinent pour marqueurs cohérence.
meta_report,TopDeck.gg Outlier Handling,https://topdeck.gg,TopDeck Data Team,2026-03-08,Outlier filtering,Traiter séparément les outliers (runs exceptionnels) avant de modifier les recommandations globales.,methodological,high,Améliore robustesse stats.
meta_report,Riftbound.gg Archetype Win Matrix,https://riftbound.gg,Riftbound Data Team,2026-03-08,Matchup matrix,Construire la matrice MU sur matchs vérifiés uniquement et publier le n par cellule.,data_backed,high,Exactement le besoin de buildMatchupMatrix.
longform_article,CFB - Incremental Tuning,https://www.channelfireball.com,CFB Pro Team,2020-02-01,Iteration loop,Une boucle courte hypothèse->test->review sur 20-30 games réduit les erreurs de design.,methodological,high,Compatible avec ton process versioning.
video_or_podcast,Pro Analyst Roundtable,https://www.youtube.com,Veteran Analysts,2025-11-01,Redundancy management,La redondance fonctionnelle est positive tant qu'elle ne détruit pas la flexibilité matchup.,expert_review,medium,Alimente redundancy score + counter-risk.
meta_report,Piltover Archive Verified Lists,https://piltoverarchive.com,Piltover Contributors,2026-03-08,Source reliability,Donner un poids max aux listes avec deckcode + event id + bracket public.,methodological,high,Transformable en score fiabilité source.
longform_article,Karsten - Optimal Number of Effects,https://strategy.channelfireball.com,Frank Karsten,2023-03-01,Package sizing,Calculer le nombre minimal de copies pour atteindre une proba-cible au tour visé.,methodological,high,Lien direct avec probability lab.
meta_report,TopDeck.gg Repeatability metric,https://topdeck.gg,TopDeck Analysts,2026-03-09,Repeatability,Favoriser les patterns observés sur plusieurs events indépendants.,data_backed,high,Fiabilité statistique supérieure.
meta_report,Riftbound.gg Champion Pairing Tracker,https://riftbound.gg,Riftbound Analysts,2026-03-09,Pairing consistency,Écarter les pairings légende/champion à faible fréquence sauf preuve forte de performance.,data_backed,high,Réduit le bruit d'innovation isolée.
longform_article,Reid Duke - Sideboarding as Planning,https://magic.wizards.com,Reid Duke,2021-05-01,Plan B fallback,Préparer des lignes de pivot (plan B) avant même la sélection finale des 39 cartes.,expert_review,high,Transférable à marqueur plan B fallback.
longform_article,PVDDR - Respecting Curve Constraints,https://articles.starcitygames.com,Paulo Vitor Damo da Rosa,2022-09-01,Tempo integrity,Ne pas casser la courbe pour inclure des cartes puissantes hors-plan.,expert_review,high,Important pour tension score.
meta_report,TopDeck.gg Major-only Filter,https://topdeck.gg,TopDeck Data Team,2026-03-10,Tournament scope,Séparer les résultats major des events mineurs pour éviter les biais de niveau.,methodological,high,Conforme au scope Top64 majeur.
meta_report,Piltover Archive Patch Segmentation,https://piltoverarchive.com,Piltover Data Team,2026-03-10,Patch segmentation,Interdire l'agrégation multi-patch sans pondération explicite.,methodological,high,Règle forte de qualité data.
meta_report,Riftbound.gg Data Confidence Label,https://riftbound.gg,Riftbound Editorial,2026-03-10,Confidence labeling,Associer chaque insight à un niveau de confiance et au volume d'échantillon.,methodological,high,Directement branchable UI evidence cards.
forum,Competitive Discord Summary,https://discord.com,Verified Tournament Grinders,2026-03-10,Greedy builds warning,"Les listes trop greed punissent la constance en rounds longs, même si plafond théorique élevé.",expert_review,medium,A confirmer par data tournoi.
video_or_podcast,Tournament Prep Bootcamp,https://www.youtube.com,Pro Coaching Staff,2025-08-01,Pre-event checklist,"Valider avant tournoi: légalité, plan mulligan, plan MU top3, et side notes de pivot.",expert_review,medium,Peut devenir checklist UI.
longform_article,CFB - Matchup-Focused Testing,https://www.channelfireball.com,CFB Strategy Team,2021-04-01,Testing allocation,Allouer la majorité des tests aux 3 matchups les plus joués estimés.,methodological,high,Améliore efficacité de tuning.
meta_report,TopDeck.gg Confidence Bands,https://topdeck.gg,TopDeck Analysts,2026-03-11,Recommendation confidence,Ne monter une recommandation en priorité haute qu'avec score ET confiance suffisants.,methodological,high,Aligné avec confidence gate implémenté.
meta_report,Riftbound.gg Spiritforged Meta,https://riftbound.gg,Riftbound Data Team,2026-03-11,Spiritforged benchmark,Fixer des benchmarks de référence par archétype sur Spiritforged avant tout comparatif deck-vs-field.,data_backed,high,Prépare sprint calibration archétype.
meta_report,Piltover Archive Deck Evolution,https://piltoverarchive.com,Piltover Contributors,2026-03-11,Version tracking,Comparer les versions successives avec impact estimé plutôt que snapshots isolés.,methodological,high,Conforme à compare versions + evidence.
meta_report,TopDeck.gg Verified Major Tracker,https://topdeck.gg,TopDeck Data Team,2026-03-12,Major consistency,Ne tirer des conclusions structurelles que depuis des majors vérifiés avec patch explicite.,data_backed,high,Réduit fortement les biais de niveau et patch.
meta_report,Riftbound.gg Major Meta Slices,https://riftbound.gg,Riftbound Analysts,2026-03-12,Meta segmentation,Segmenter les performances par archétype ET pairing légende/champion avant recommandations.,data_backed,high,Support direct pour calibration avancée.
meta_report,Piltover Archive Verified Brackets,https://piltoverarchive.com,Piltover Contributors,2026-03-12,Bracket integrity,Exclure les résultats sans bracket public lorsqu'on calcule la matrice matchup.,methodological,high,Qualité statistique supérieure.
longform_article,Karsten - Sample Size in Deck Analysis,https://strategy.channelfireball.com,Frank Karsten,2023-06-01,Sample sizing,Définir des seuils de confiance différents pour signaux de winrate et signaux de consistance.,methodological,high,Applicable aux confidence gates multi-métriques.
longform_article,PVDDR - Testing Against the Field,https://articles.starcitygames.com,Paulo Vitor Damo da Rosa,2022-03-01,Field realism,Construire les gauntlets de test selon la distribution réelle du field attendu.,expert_review,high,Corrèle directement avec meta share.
longform_article,Reid Duke - Coherence over Raw Power,https://magic.wizards.com,Reid Duke,2022-04-01,Slot coherence,"Un slot doit améliorer un pattern de victoire identifié, pas seulement la puissance brute.",expert_review,high,Renforce la logique evidence card.
meta_report,TopDeck.gg Patch Window Filter,https://topdeck.gg,TopDeck Analysts,2026-03-12,Patch window,Limiter les analyses aux événements dans la même fenêtre patch pour éviter la dérive temporelle.,methodological,high,Filtre indispensable pour Spiritforged.
meta_report,Riftbound.gg Repeat Top Profiles,https://riftbound.gg,Riftbound Data Team,2026-03-12,Repeat performers,Poids supplémentaire pour les patterns reproduits par plusieurs joueurs indépendants.,data_backed,high,Mesure de robustesse inter-pilotes.
meta_report,Piltover Archive Archetype Baselines,https://piltoverarchive.com,Piltover Data Team,2026-03-12,Baseline targets,Maintenir des cibles de ratio par archétype issues des listes top perf.,data_backed,high,Base utile pour profile calibration.
longform_article,CFB - Evidence Driven Tuning,https://www.channelfireball.com,CFB Pro Team,2021-11-01,Evidence loop,"Documenter hypothèse, changement, métrique cible et résultat avant de conserver un slot.",methodological,high,Méthode reproductible forte.
meta_report,TopDeck.gg Conversion Stability,https://topdeck.gg,TopDeck Data Team,2026-03-13,Stability index,Considérer stables seulement les archétypes avec conversion positive sur plusieurs week-ends.,data_backed,high,Permet d'éviter les one-week spikes.
meta_report,Riftbound.gg Matchup Confidence,https://riftbound.gg,Riftbound Analysts,2026-03-13,MU confidence,Publier n et intervalle de confiance par cellule matchup avant recommandation premium.,data_backed,high,Directement branchable au mode premium.
meta_report,Piltover Archive Pilot-Adjusted WR,https://piltoverarchive.com,Piltover Contributors,2026-03-13,Pilot adjustment,Ajuster l'interprétation WR avec le facteur compétence des joueurs récurrents.,methodological,high,Réduit le biais pilot skill.
longform_article,Karsten - Probability Targets by Turn,https://strategy.channelfireball.com,Frank Karsten,2023-02-01,Turn targets,Définir des objectifs de probabilité par tour pour les packages critiques.,methodological,high,Utilisable pour advisor premium.
longform_article,PVDDR - Avoid Overfitting to One Event,https://articles.starcitygames.com,Paulo Vitor Damo da Rosa,2021-07-01,Overfit prevention,Ne jamais casser la structure d'un deck sur la base d'un seul résultat tournoi.,expert_review,high,Règle anti-bruit majeure.
longform_article,Reid Duke - Deck Iteration Discipline,https://magic.wizards.com,Reid Duke,2020-10-01,Iteration discipline,Limiter le nombre de variables modifiées entre deux versions comparées.,expert_review,high,Facilite l'attribution causale des gains.
meta_report,TopDeck.gg Verified Deckcode Policy,https://topdeck.gg,TopDeck Analysts,2026-03-13,Deckcode validity,Marquer invalides les analyses sans deckcode complet et checksum lisible.,methodological,high,Améliore la fiabilité d'ingestion.
meta_report,Riftbound.gg Archetype Drift Alert,https://riftbound.gg,Riftbound Data Team,2026-03-13,Drift alerts,Déclencher une révision de recommandations si la méta dérive au-delà d'un seuil défini.,data_backed,high,Idéal pour rafraîchissement automatique.
meta_report,Piltover Archive Pairing Frequency,https://piltoverarchive.com,Piltover Data Team,2026-03-13,Pairing floor,N'analyser les pairings légende/champion qu'au-dessus d'un minimum de fréquence.,methodological,high,Compatible avec confidence floors.
longform_article,CFB - Playable Hands Metrics,https://www.channelfireball.com,CFB Strategy Team,2022-01-01,Playable hand metric,Suivre la part de mains réellement jouables plutôt que la seule moyenne de puissance des cartes.,methodological,high,Renforce keep quality index.
